DE,DS4Armor.abwehr,Abwehr
DE,DS4Armor.armor-select.title,Rüstung kaufen
DE,DS4Armor.chainmail.description,
DE,DS4Armor.chainmail,Kettenpanzer
DE,DS4Armor.costs,Kosten
DE,DS4Armor.description,Besonderes
DE,DS4Armor.helmet.description,
DE,DS4Armor.helmet,Metallhelm
DE,DS4Armor.ini,INI
DE,DS4Armor.isActive,
DE,DS4Armor.la,LA
DE,DS4Armor.leatherapps.description,
DE,DS4Armor.leatherapps,Lederschienen (Arm & Bein)
DE,DS4Armor.leather.description,
DE,DS4Armor.leather,Lederpanzer
DE,DS4Armor.metalshield.description,
DE,DS4Armor.metalshield,Metallschild
DE,DS4Armor.name,Rüstung
DE,DS4Armor.names,Rüstungen
DE,DS4Armor.pa,PA
DE,DS4Armor.platearms.description,
DE,DS4Armor.platearms,Plattenarmschienen
DE,DS4Armor.plate.description,
DE,DS4Armor.platelegs.description,
DE,DS4Armor.platelegs,Plattenbeinschienen
DE,DS4Armor.plate,Plattenpanzer
DE,DS4Armor.robe.description,
DE,DS4Armor.robe,Robe
DE,DS4Armor.roberunes.description,Aura +1
DE,DS4Armor.roberunes,Robe (runenbestickt)
DE,DS4Armor.select,
DE,DS4Armor.towershield.description,
DE,DS4Armor.towershield,Turmschild
DE,DS4Armor.woodenshield.description,Zerbricht bei Abwehr-Patzer.
DE,DS4Armor.woodenshield,Holzschild
DE,DS4Attribute.agi,Agilität
DE,DS4Attribute.agi.short,AGI
DE,DS4Attribute.gei,Geist
DE,DS4Attribute.gei.short,GEI
DE,DS4Attribute.kor,Körper
DE,DS4Attribute.kor.short,KÖR
DE,DS4Attribute.names,Attribute
DE,DS4Buy.actualGold,Dein Goldvorrat
DE,DS4Buy.actualTp,Deine verfügbaren Talentpunkte
DE,DS4Buy.notEnoughGold,Du hast nicht genug Gold.
DE,DS4Buy.notEnoughTp,Du hast nicht genug Talentpunkte.
DE,DS4Character.abilities,Fähigkeiten
DE,DS4Character.akyna,Akyna
DE,DS4Character.alnuzzran,Al-Nuzzran
DE,DS4Character.Anarioth,Anarioth 'Der Sturmrufer'
DE,DS4Character.ankmatur,Ankmatur
DE,DS4Character.arkenbeijl,Arken Beijl
DE,DS4Character.armor,Panzerung
DE,DS4Character.bandit1,Räuber
DE,DS4Character.bandit,Wegelagerer
DE,DS4Character.barex,Barex
DE,DS4Character.belgor,Belgor
DE,DS4Character.brambel,Brambel
DE,DS4Character.brutac,Brutac
DE,DS4Character.captaintomb,Grufthauptmann
DE,DS4Character.casius,Casius
DE,DS4Character.chalog,Chalog Omesch
DE,DS4Character.cheapmercenary,Billiger Söldner
DE,DS4Character.chienkwan,Chien Kwan
DE,DS4CharacterClass.archmage,Erzmagier
DE,DS4CharacterClass.archmage.short,ERZ
DE,DS4CharacterClass.berserk,Berserker
DE,DS4CharacterClass.berserk.short,BER
DE,DS4CharacterClass.bloodmage,Blutmagier
DE,DS4CharacterClass.bloodmage.short,BLU
DE,DS4.characterClassBonus,Bonus
DE,DS4CharacterClass.cleric,Kleriker
DE,DS4CharacterClass.cleric.short,KLE
DE,DS4CharacterClass.daemonmage,Dämonologe
DE,DS4CharacterClass.daemonmage.short,DÄM
DE,DS4CharacterClass.darkmage,Schwarzmagier
DE,DS4CharacterClass.darkmage.short,Sch
DE,DS4CharacterClass.druid,Druide
DE,DS4CharacterClass.druid.short,DRU
DE,DS4CharacterClass.elementarist,Elementarist
DE,DS4CharacterClass.elementarist.short,ELE
DE,DS4CharacterClass.fighter,Krieger
DE,DS4CharacterClass.fighter.short,KRI
DE,DS4CharacterClass.healer,Heiler
DE,DS4CharacterClass.healer.short,Hei
DE,DS4CharacterClass.killer,Attentäter
DE,DS4CharacterClass.killer.short,ATT
DE,DS4.characterClass,Klasse
DE,DS4CharacterClass.monk,Kampfmönch
DE,DS4CharacterClass.monk.short,KMÖ
DE,DS4CharacterClass.names,Klassen
DE,DS4CharacterClass.necromant,Nekromant
DE,DS4CharacterClass.necromant.short,NEK
DE,DS4CharacterClass.paladin,Paladin
DE,DS4CharacterClass.paladin.short,PAL
DE,DS4CharacterClass.ranger.short,WDL
DE,DS4CharacterClass.ranger,Waldläufer
DE,DS4CharacterClass.scout.short,SPÄ
